PaperKey,FigOrTable,LocalID,Page,ShortCaption,What_it_Shows,SuggestedSection,Rationale
Zheng2025,Table,Table 1,3,"[11–15]. However, several limitations","[11–15]. However, several limitations",Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 1,3,. Analysis table of review articles.,. Analysis table of review articles.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 1,3,. A combined,. A combined,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 2,4,"[11], ”√” indicates that the category","[11], ”√” indicates that the category",Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 2,4,. Definition of CI sectors [11].,. Definition of CI sectors [11].,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 1,5,.,.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 1,5,. Blockchain diagram in OTCI.,. Blockchain diagram in OTCI.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 2,6,.,.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 2,7,. Literature retrieval and selection strategies.,. Literature retrieval and selection strategies.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 3,7,. In the,. In the,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 3,8,. Review steps.,. Review steps.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 4,8,"shows the publication trends of BT in the OTCI field, reflecting the growing","shows the publication trends of BT in the OTCI field, reflecting the growing",Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 4,9,. Year of publication.,. Year of publication.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 4,9,",",",",Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 5,10,", these",", these",Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 5,10,. Statistical chart of published journals.,. Statistical chart of published journals.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 3,10,. The number of references helps assess whether scholars from a,. The number of references helps assess whether scholars from a,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 3,10,", it can be observed that among the top 10 contributing countries, the",", it can be observed that among the top 10 contributing countries, the",Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 3,11,. Country distribution table.,. Country distribution table.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 6,12,. Each circle in the figure represents an author. The different colors represent,. Each circle in the figure represents an author. The different colors represent,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 6,12,", most",", most",Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 6,12,. Author co-authorship network diagram.,. Author co-authorship network diagram.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 7,13,". To better capture the definition of keywords, a joint analysis of the",". To better capture the definition of keywords, a joint analysis of the",Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 7,13,. Keyword co-occurrence network diagram.,. Keyword co-occurrence network diagram.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 8,14,". Through cryptographic algorithms, con-",". Through cryptographic algorithms, con-",Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 4,14,. This analysis categorizes,. This analysis categorizes,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Figure,Figure 8,14,. Schematic diagram of BT protection function in OTCI.,. Schematic diagram of BT protection function in OTCI.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 4,14,. Analysis of research topics.,. Analysis of research topics.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 5,15,.,.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 5,15,. OTCI identity authentication.,. OTCI identity authentication.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 6,17,.,.,Blockchain in Smart Agriculture,Caption indicates relevance to section
Zheng2025,Table,Table 6,17,. OTCI data validation.,. OTCI data validation.,Blockchain in Smart Agriculture,Caption indicates relevance to section
